state,water_quality,soil_quality,air_quality,recommended_crops
AndamanandNicobar,Good,Good,Good,"Coconut, Arecanut, Banana, Rice"
AndhraPradesh,Medium ,Medium,Medium ,"Rice, Cotton, Groundnut, Chillies, Sugarcane"
ArunachalPradesh,Good,Medium,Good,"Rice, Maize, Millets, Oranges"
Assam,Medium ,Good,Medium ,"Tea, Rice, Mustard, Jute"
Bihar,Medium ,Good,Bad,"Rice, Wheat, Maize, Sugarcane, Pulses"
Chandigharh,Medium ,Medium,Medium ,"Wheat, Vegetables"
Chhattisgarh,Medium ,Medium,Medium ,"Rice, Maize, Pulses, Groundnut, Wheat"
DadrandNagarHaveli,Good,Medium,Good,"Rice, Wheat, Maize, Sugarcane, Pulses"
DamanandDiu,Good,Medium,Good,"Coconut, Arecanut, Banana, Rice"
Goa,Good,Good,Good,"Rice, Cashew, Coconut, Mangoes"
Gujurat,Medium ,Medium,Medium ,"Groundnut, Cotton, Sugarcane, Bajra, Wheat"
Haryana,Medium ,Good,Bad,"Wheat, Rice, Mustard, Bajra, Sugarcane"
HImachalPradesh,Good,Medium,Good,"Apples, Barley, Maize, Wheat, Potatoes"
JammuandKashmir,Medium ,Medium,Medium ,"Apples, Saffron, Rice, Maize, Barley"
Jharkhand,Medium ,Medium,Medium ,"Rice, Maize, Pulses, Oilseeds"
Karnataka,Medium ,Medium,Medium ,"Ragi, Rice, Sugarcane, Coffee, Coconut"
Kerala,Good,Good,Good,"Coconut, Rubber, Spices (Pepper, Cardamom), Tea, Coffee"
Lakshadweep,Good,Medium,Good,"Coconut, Tuna (fishing)"
MadhyaPradesh,Medium ,Medium,Medium ,"Wheat, Soybean, Rice, Pulses, Maize"
Maharashtra,Medium ,Medium,Medium ,"Cotton, Sugarcane, Wheat, Jowar, Pulses"
Manipur ,Medium ,Medium,Good,"Rice, Mustard, Pineapple, Potatoes"
Meghalaya,Good,Medium,Good,"Rice, Maize, Potatoes, Oranges, Ginger"
Mizoram,Good,Medium,Good,"Rice, Ginger, Oranges, Bamboo shoots"
Nagaland,Good,Medium,Good,"Rice, Maize, Pulses, Millets"
NCTofDelhi,Bad,Bad,Bad,"Vegetables, Wheat, Mustard"
Odisa,Medium ,Medium,Medium ,"Rice, Groundnut, Maize, Pulses, Cashew"
Puducherry,Good,Medium,Good,"Rice, Ginger, Oranges, Bamboo shoots"
Punjab,Bad,Good,Bad,"Wheat, Rice, Maize, Cotton, Sugarcane"
Rajasthan,Bad,Bad,Medium ,"Bajra, Wheat, Mustard, Barley, Maize"
Sikkim,Good,Medium,Good,"Wheat, Rice, Maize, Cotton, Sugarcane"
TamilNadu,Medium ,Medium,Medium ,"Rice, Sugarcane, Groundnut, Coconut, Millets"
Telangana,Medium ,Medium,Medium ,"Rice, Cotton, Maize, Millets, Pulses"
Tripura,Medium ,Medium,Medium ,"Rice, Pineapple, Tea, Jute"
UttarPradesh,Medium ,Medium,Bad,"Sugarcane, Wheat, Rice, Bajra, Maize"
Uttarakhand,Good,Medium,Good,"Sugarcane, Wheat, Rice, Bajra, Maize"
WestBengal,Medium ,Good,Bad,"Rice, Jute, Tea, Mustard, Potatoes"
